STAID,BFI5,DFI90,fdc_b,fdc_b_l,fdc_b_u,peak_event,low_event,max_flow,min_flow,annual_temp,meanPET,meanP,rc,aridity,DRAIN_SQKM,LAT,LON,snow_frac,drain_mm2,max_pptseason,min_pptseason,fall_cv,spring_cv,summer_cv,winter_cv,annual_cv,ELEV_MEAN_M_BASIN,SLOPE_PCT
01509000,0.557742482634775,0.143899737848402,2.5828306830487,6.24677924968481,9.82032820148879,spring,fall,spring,summer,7.15184470760941,590.356516933992,1135.91917509013,0.557172080763426,0.519717009695826,759.8,42.602848,-76.159373,0.247551459589721,759800000000000,summer,winter,1.3698544814267,0.960178925561219,1.34118090728027,0.971843423739349,1.21341815861204,460.5,10.3
01510000,0.468208668481441,0.0949600871753477,2.97970377526421,8.47949146928205,9.6513278210982,spring,fall,spring,summer,7.14002958985624,590.479477464902,1153.09625456015,0.580693333246279,0.51208168887006,383,42.541181,-75.899643,0.249513579867895,383000000000000,summer,winter,1.53232826269676,1.08083070057649,1.8368533632849,1.18286701969757,1.39254413788908,483.3,10.8
01516350,0.432324184698155,0.0879951146315133,3.21180742480647,6.16782016212115,12.9903655511507,summer,fall,spring,summer,7.59585301229382,598.540300641735,981.970480207126,0.50272679599095,0.609529830790316,395.2,41.794241,-77.080246,0.211662170861489,395200000000000,spring,winter,2.3277145439339,1.31564201116293,2.7203456571574,1.72864090750829,1.86670910073431,570.1,10.0
01541000,0.45847314058784,0.129453478524369,2.71169836938547,5.04016380206704,10.4213224077144,fall,fall,spring,summer,8.77046727535105,637.715832196082,1161.91761791787,0.531547734483621,0.548847717223579,817.7,40.897007,-78.676973,0.18977998444103,817700000000000,fall,winter,2.04458019051121,0.978346162601363,1.53615111692741,1.15258235857101,1.36986220201643,523.7,10.7
01542810,0.312400966671236,0.0378996531663945,3.79626345168976,13.7978543188467,11.6423299198588,winter,fall,spring,summer,7.07489614608393,577.282055691886,1131.45361464024,0.515390510470127,0.510212745995283,13.6,41.578952,-78.292512,0.23710648272918,13600000000000,spring,winter,2.31794108477938,1.27900010772428,2.80517955472633,1.64493801230698,1.8311631503871,561.3,19.9
01543000,0.382191044921274,0.0442977024867141,3.34353278773231,13.0617888915707,11.3141801904402,winter,fall,spring,summer,7.3283185815118,586.753329340329,1121.91282921722,0.536386957187247,0.522993689045982,705.5,41.413396,-78.196952,0.226732404456277,705500000000000,spring,winter,1.956141642119,1.05613503564039,2.2910326219582,1.38139042267584,1.54367007251729,529.9,20.5
01543500,0.420507330584551,0.055608378201083,3.13438545869612,10.3222983605012,10.9855227324764,fall,fall,spring,summer,7.70442071269493,600.932644596152,1105.72611794521,0.538410660136029,0.543473320240346,1778.3,41.317285,-78.10306,0.221363963110977,1778300000000000,spring,winter,1.97385496574139,0.978082098666591,1.83169877998953,1.21024121457463,1.41296818710408,521.9,18.3
01544500,0.449710093003976,0.0667301456946421,3.1512023707644,10.1147624231529,10.7887995894573,fall,fall,spring,summer,7.25272506440649,583.651255669751,1087.6215744677,0.544830051865653,0.53663081844933,355.1,41.475899,-77.825825,0.234800071283466,355100000000000,spring,winter,1.99408820936805,1.03915388964963,1.88940888827226,1.31145333653982,1.48756835316075,576.2,21.1
01545600,0.489273827259833,0.0782925800963879,3.12428165064423,11.6402751917956,10.9748430382694,summer,fall,spring,summer,7.50938654647411,595.56139324154,1100.34570500056,0.506530847498823,0.541249346032788,120,41.389512,-77.690819,0.220383695744406,120000000000000,spring,winter,1.96263084695525,0.971319024225022,1.98688165754681,1.16876918914575,1.41619868147011,554.7,18.3
01546400,0.702235422156798,0.330424161943637,1.80051294593207,3.22638072803651,9.78225392138238,fall,winter,spring,summer,9.42078045302565,666.602888267301,1015.88175109228,0.382881020636422,0.656181575808963,156.7,40.833673,-77.827501,0.160953010542673,156700000000000,summer,winter,1.31189048409794,0.768578189425431,0.767896513205503,0.851394914512755,0.959107038794491,406.3,8.5
